display_name,normalized_name,occurrence_count,recipe_count,kind,nutrition_match_status,nutrition_reference_name,nutrition_matched_alias,quantity_examples,recipe_examples
Per Servire:,per servire,1230,1230,section-label,section-label,,,,A. B. C. | Abate | Abc | Absinthe Cocktail (2) | Acapulco (2)
Basilico,basilico,1204,1198,ingredient,exact,Basilico,,Alcune Foglie (138) | 1 Mazzetto (95) | 1 Ciuffo (37) | 10 Foglie (35) | 4 Foglie (30),A Pizza Ca' Pummarola Ncopp' | A Pizza Ca' Pummarola Ncopp' (2) | A Pizza Ca' Pummarola Ncopp' (3) | Abbacchio Con Asparagi | Abbraccio Di Mezze Maniche
Vino Bianco Secco,vino bianco secco,1145,1142,ingredient,unmatched,,,1 Bicchiere (292) | 1/2 Bicchiere (285) | 2 Bicchieri (50) | 10 Cl (34) | 25 Cl (31),Abbacchio A Scottadito (2) | Abbacchio Con Asparagi | Abbacchio E Carciofi | Agliata | Agnello Ai Finocchietti
Pangrattato,pangrattato,1141,1136,ingredient,unmatched,,,2 Cucchiai (77) | 1 Cucchiaio (57) | 100 G (52) | 50 G (51) | 4 Cucchiai (40),Abaloni Alla Californiana | Abbacchio Dorato | Abbacchio E Carciofi | Acciughe Al Forno | Acciughe Al Limone (6)
Uovo,uovo,1105,1097,ingredient,alias,Uova,uovo,1 (1079) | 1/2 (1) | 50 G (1),Acciughe Impanate | Acrats Di Gamberi Alla Giamaicana | Agnello In Crosta Di Pane Con Crema Di Piselli | Agnolini In Brodo | Agnolotti Alla Piemontese (2)
Brodo,brodo,1092,1090,ingredient,alias,Brodo vegetale,brodo,100 Cl (120) | 150 Cl (81) | 1 Mestolo (65) | 1 Bicchiere (56) | 50 Cl (55),Agnello Alla Toscana | Agnello Alla Valtellinese | Agnello Alle Olive | Agnello Con Carciofi | Agnello Con I Bamia
Tuorli D'uovo,tuorli d uovo,1040,1022,ingredient,unmatched,,,2 (392) | 3 (259) | 4 (199) | 6 (76) | 5 (52),Abbacchio Brodettato | Abbacchio Con Asparagi | Agnello Allo Yogurth | Agnello Con Carciofi (2) | Agnolotti Alla Piemontese (2)
Aceto Di Vino,aceto di vino,1010,1007,ingredient,unmatched,,,1 Cucchiaio (159) | 2 Cucchiai (110) | 1/2 Bicchiere (60) | 1 Bicchiere (50) | 3 Cucchiai (43),Abbacchio Alla Cacciatora | Abbacchio Alla Cacciatora (3) | Abbacchio Alla Romana | Acciughe Al Verde | Acciughe Al Verde (2)
Noce Moscata,noce moscata,876,874,ingredient,unmatched,,,1 Pizzico (198) | 1 Grattatina (68) | 1 Grattugiata (16) | 1 Grattata (16) | Poca (11),Aceto Alle Spezie | Aceto Dei 10 Aromi | Aceto Profumato | Afrodisiaco | Agnolini In Brodo
Rosmarino,rosmarino,865,865,ingredient,unmatched,,,1 Rametto (326) | 2 Rametti (47) | Alcune Foglie (12) | Alcuni Rametti (8) | Poco (7),A Tutto Tonno | Abbacchio A Scottadito (2) | Abbacchio Alla Cacciatora (3) | Abbacchio Alla Cacciatora (4) | Abbacchio Alla Romana
Alloro,alloro,864,864,ingredient,unmatched,,,1 Foglia (337) | 2 Foglie (157) | Alcune Foglie (52) | 3 Foglie (36) | 4 Foglie (16),Aceto Agli Aromi (2) | Aceto Agli Aromi Misti | Aceto Ai Fichi Secchi | Aceto Al Corbezzolo | Aceto Al Peperoncino (2)
Patate,patate,859,859,ingredient,unmatched,,,2 (147) | 500 G (90) | 1000 G (84) | 3 (69) | 4 (63),Abbacchio A Scottadito (2) | Abbacchio Alla Romana (3) | Acqua Cotta (6) | Agnello Al Forno | Agnello Al Forno Con Verdure
Carota,carota,847,843,ingredient,alias,Carote,carota,1 (653) | 1 Fettina (26) | 1/2 (17) | 100 G (8) | 50 G (4),A Tutto Tonno | Abbraccio Di Mezze Maniche | Acapulco (2) | Acciughe Al Vino Bianco | Agnello All'aceto Balsamico Tradizionale
Per Guarnire:,per guarnire,828,827,section-label,section-label,,,,A B C (amici Bevete Cointreau) | A Chi Piace | Acapulco | Acapulco (4) | Acciughe Fritte
Zucchero A Velo,zucchero a velo,826,804,ingredient,unmatched,,,100 G (82) | 50 G (61) | 2 Cucchiai (44) | 150 G (42) | 200 G (41),Alberello Di Ricotta Con Agrumi E Fondente | Albicocche Royal | Amandin Con Mandorle E Arance | Amaretti (4) | Amaretti Fritti
Riso,riso,788,788,ingredient,alias,Riso arborio,riso,350 G (144) | 400 G (140) | 300 G (120) | 200 G (72) | 250 G (44),Agnellone Con Riso | Antipasto Di Aragosta In Bellavista | Antipasto Di Carciofi | Antipasto Di Pomodori Alla Valacca | Antipasto Di Riso
Salvia,salvia,742,740,ingredient,unmatched,,,Alcune Foglie (92) | 1 Rametto (50) | 4 Foglie (42) | 2 Foglie (39) | 3 Foglie (35),Abbacchio Alla Cacciatora (3) | Abbacchio Alla Cacciatora (4) | Abbacchio Alla Romana (3) | Abbacchio Dorato | Abbacchio E Carciofi
Rum,rum,738,735,ingredient,unmatched,,,1 Bicchierino (103) | 2 Cucchiai (60) | 1/3 (34) | 1 Cucchiaio (31) | 3/4 (27),Acapulco (5) | Acapulco Gold | Affogato Al Kiwi | Affogato Alla Banana | Affogato Alla Banana (2)
